118.1, DistDow,118.71, DistUp,189.9,,,,,,,,
, DistFront,114.97, DistDow,119.3, DistUp,123.55,,,,,,
, DistFront,115.56, DistDow,119.25, DistUp,121.05,,,,,,
, DistFront,116.05, DistDow,118.83, DistUp,121.85,,,,,,
, DistFrontMean,117.74, DistDowMean,118.84, DistUpMean,122.7,,,,,,
, DistFront,117.74, DistDow,118.84, DistUp,122.26,,,,,,
, DistFront,113.81, DistDow,119.23, DistUp,122.28,,,,,,
, DistFront,114.97, DistDow,117.93, DistUp,123.06,,,,,,
, DistFront,117.67, DistDow,118.83, DistUp,123.91,,,,,,
, DistFront,113.59, DistDow,118.27, DistUp,122.62,,,,,,
, DistFront,117.48, DistDow,118.59, DistUp,3.74,,,,,,
, DistFront,115.46, DistDow,119.12, DistUp,3351.89,,,,,,
, DistFront,106.6, DistDow,118.95, DistUp,124.18,,,,,,
, DistFront,114.2, DistDow,118.98, DistUp,3327.77,,,,,,
, DistFront,106.56, DistDow,117.77, DistUp,122.06,,,,,,
, DistFront,114.25, DistDow,118.55, DistUp,122.82,,,,,,
, DistFront,114.32, DistDow,119.05, DistUp,121.26,,,,,,
, DistFront,115.68, DistDow,118.59, DistUp,122.82,,,,,,
, DistFront,114.13, DistDow,117.77, DistUp,191.89,,,,,,
, DistFront,117.91, DistDow,119.46, DistUp,121.67,,,,,,
, DistFront,114.56, DistDow,118.16, DistUp,122.47,,,,,,
, DistFront,113.78, DistDow,119.4, DistUp,193.95,,,,,,
, DistFront,117.96, DistDow,117.21, DistUp,191.77,,,,,,
, DistFront,112.21, DistDow,118.06, DistUp,122.04,,,,,,
, DistFront,113.16, DistDow,118.03, DistUp,121.99,,,,,,
, DistFrontMean,117.38, DistDowMean,118.54, DistUpMean,121.56,,,,,,
, DistFront,118.62, DistDow,118.54, DistUp,121.99,,,,,,
, DistFront,117.35, DistDow,118.42, DistUp,123.2,,,,,,
, DistFront,115.39, DistDow,118.45, DistUp,122.38,,,,,,
, DistFront,113.4, DistDow,117.57, DistUp,123.16,,,,,,
, DistFront,117.82, DistDow,116.56, DistUp,122.31,,,,,,
, DistFront,116.48, DistDow,118.83, DistUp,121.46,,,,,,
, DistFront,116.85, DistDow,118.32, DistUp,122.28,,,,,,
, DistFront,118.11, DistDow,117.93, DistUp,122.28,,,,,,
, DistFront,116.56, DistDow,118.74, DistUp,123.11,,,,,,
, DistFront,115.56, DistDow,117.93, DistUp,121.82,,,,,,
, DistFront,117.67, DistDow,117.82, DistUp,123.54,,,,,,
, DistFront,117.38, DistDow,118.78, DistUp,121.84,,,,,,
, DistFront,116.12, DistDow,117.52, DistUp,192.16,,,,,,
, DistFront,117.7, DistDow,116.56, DistUp,121.45,,,,,,
, DistFront,117.84, DistDow,119.69, DistUp,121.48,,,,,,
, DistFront,114.91, DistDow,118.42, DistUp,121.92,,,,,,
, DistFront,116.46, DistDow,118.33, DistUp,122.38,,,,,,
, DistFront,116.92, DistDow,118.89, DistUp,3314.4,,,,,,
, DistFrontMean,118.27, DistDowMean,118.62, DistUpMean,3.74,,,,,,
, DistFront,117.48, DistDow,119.4, DistUp,3319.63,,,,,,
, DistFront,107.18, DistDow,118.2, DistUp,191.9,,,,,,
, DistFront,111.73, DistDow,118.27, DistUp,194.95,,,,,,
, DistFront,117.67, DistDow,118.69, DistUp,192.48,,,,,,
, DistFront,113.35, DistDow,118.33, DistUp,192.48,,,,,,
, DistFront,114.17, DistDow,118.78, DistUp,123.23,,,,,,
, DistFront,118.25, DistDow,119.2, DistUp,3.64,,,,,,
, DistFront,113.06, DistDow,119.23, DistUp,123.52,,,,,,
, DistFront,113.27, DistDow,119.18, DistUp,272.67,,,,,,
, DistFront,111.26, DistDow,119.18, DistUp,122.74,,,,,,
, DistFront,114.42, DistDow,119.13, DistUp,123.1,,,,,,
, DistFront,114.81, DistDow,118.27, DistUp,123.54,,,,,,
, DistFront,117.53, DistDow,119.47, DistUp,3.76,,,,,,
, DistFront,113.96, DistDow,118.18, DistUp,122.6,,,,,,
, DistFront,118.32, DistDow,118.59, DistUp,125.1,,,,,,
